Texas Christian,College,Women,Division I,South Central,Texas DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,78,1150,4,2,2018-04-03,87,1066,7,3,2018-06-03,60,1261,14,7
Columbia,College,Women,Division I,Metro East,Eastern Metro East DI,2018-03-07,59,1190,5,1,2018-03-14,59,1239,5,1,2018-03-21,59,1277,5,1,2018-03-28,66,1297,9,4,2018-04-03,57,1317,9,2,2018-06-03,61,1247,20,7
Wesleyan,College,Women,Division III,Metro East,Eastern Metro East DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,N/A,N/A,N/A,N/A,2018-04-03,63,1238,8,2,2018-06-03,62,1247,19,5
San Diego State,College,Women,Division I,Southwest,SoCal DI,2018-03-07,83,953,8,6,2018-03-14,87,939,8,6,2018-03-21,81,1083,8,6,2018-03-28,70,1284,14,7,2018-04-03,67,1214,11,7,2018-06-03,63,1245,17,14
James Madison,College,Women,Division I,Atlantic Coast,Virginia DI,2018-03-07,66,1125,8,4,2018-03-14,70,1152,8,4,2018-03-21,66,1197,13,6,2018-03-28,77,1170,13,6,2018-04-03,72,1161,12,6,2018-06-03,64,1243,20,11
Lehigh,College,Women,Division III,Ohio Valley,Pennsylvania DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,69,1284,7,4,2018-04-03,49,1371,9,1,2018-06-03,65,1238,27,7
Central Florida,College,Women,Division I,Southeast,Florida DI,2018-03-07,61,1179,13,6,2018-03-14,60,1233,13,6,2018-03-21,53,1368,18,6,2018-03-28,59,1340,18,6,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,66,1236,26,9
Puget Sound,College,Women,Division III,Northwest,Northwest DIII,2018-03-07,75,1027,6,6,2018-03-14,81,1013,6,6,2018-03-21,70,1164,6,6,2018-03-28,61,1332,12,6,2018-04-03,52,1356,9,6,2018-06-03,67,1232,19,8
Cornell,College,Women,Division I,Metro East,Western NY DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,94,1057,4,8,2018-04-03,99,1002,6,12,2018-06-03,68,1212,18,19
Arizona,College,Women,Division I,Southwest,Desert DI,2018-03-07,49,1333,7,6,2018-03-14,54,1318,7,6,2018-03-21,47,1440,7,6,2018-03-28,58,1344,12,8,2018-04-03,60,1281,11,7,2018-06-03,69,1210,14,12
Rensselaer Polytech,College,Women,Division III,Metro East,Eastern Metro East DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,N/A,N/A,N/A,N/A,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,70,1207,18,7
Emory,College,Women,Division I,Southeast,Southern Appalachian DI,2018-03-07,92,822,10,3,2018-03-14,96,867,10,3,2018-03-21,92,919,10,3,2018-03-28,100,1025,10,3,2018-04-03,55,1334,9,2,2018-06-03,71,1179,16,8
Boston College,College,Women,Division I,New England,Metro Boston DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,60,1336,4,6,2018-04-03,62,1257,4,6,2018-06-03,72,1176,8,13
Mount Holyoke,College,Women,Division III,New England,South New England DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,34,1576,6,1,2018-04-03,70,1184,7,1,2018-06-03,73,1174,21,6
California-Davis,College,Women,Division I,Southwest,NorCal DI,2018-03-07,51,1312,9,16,2018-03-14,56,1295,9,16,2018-03-21,49,1416,9,16,2018-03-28,53,1376,9,16,2018-04-03,56,1333,9,16,2018-06-03,74,1171,15,23
Oberlin,College,Women,Division III,Ohio Valley,Ohio DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,63,1324,9,2,2018-04-03,48,1383,9,2,2018-06-03,75,1167,24,4
Boston University,College,Women,Division I,New England,Metro Boston DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,68,1287,6,3,2018-04-03,61,1273,11,6,2018-06-03,76,1162,13,13
Maryland,College,Women,Division I,Atlantic Coast,Colonial DI,2018-03-07,73,1043,9,3,2018-03-14,74,1086,9,3,2018-03-21,73,1142,12,6,2018-03-28,87,1112,12,6,2018-04-03,82,1090,12,6,2018-06-03,77,1158,20,10
Denver,College,Women,Division I,South Central,Rocky Mountain DI,2018-03-07,70,1063,8,4,2018-03-14,78,1033,8,4,2018-03-21,71,1163,8,4,2018-03-28,84,1117,8,4,2018-04-03,96,1030,15,4,2018-06-03,78,1146,20,10
Georgia College,College,Women,Division III,Southeast,Southeast DIII,2018-03-07,79,984,8,4,2018-03-14,76,1058,8,4,2018-03-21,74,1128,8,4,2018-03-28,88,1097,8,4,2018-04-03,74,1133,8,3,2018-06-03,79,1127,12,7
Amherst,College,Women,Division III,New England,South New England DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,N/A,N/A,N/A,N/A,2018-04-03,43,1437,7,3,2018-06-03,80,1116,14,11
Vanderbilt,College,Women,Division I,Southeast,Gulf Coast DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,N/A,N/A,N/A,N/A,2018-04-03,101,995,6,2,2018-06-03,81,1112,14,7
Iowa,College,Women,Division I,North Central,Western North Central DI,2018-03-07,71,1048,4,8,2018-03-14,77,1050,4,8,2018-03-21,69,1164,4,8,2018-03-28,82,1136,4,8,2018-04-03,79,1105,2,6,2018-06-03,82,1105,10,13
Georgetown,College,Women,Division I,Atlantic Coast,Colonial DI,2018-03-07,87,879,3,10,2018-03-14,91,907,3,10,2018-03-21,78,1110,8,12,2018-03-28,90,1087,8,14,2018-04-03,89,1061,8,14,2018-06-03,83,1099,16,18
Purdue,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,2018-03-07,90,829,4,2,2018-03-14,101,824,4,2,2018-03-21,85,1022,4,2,2018-03-28,83,1125,7,6,2018-04-03,73,1136,6,6,2018-06-03,84,1081,14,10
