56,Southern California,1440,College,Men,Division I,Southwest,SoCal DI,20,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=S7QA4%2frl1hF9CkAt%2f6ClJ9G4izVisB99PRPHrpV%2fSMs%3d
57,Kansas,1437,College,Men,Division I,South Central,Ozarks DI,19,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=qjXCM%2bL2NMTRMYOFMGaSICGurlPDz4fW%2b5xLtqyFuGI%3d
58,Vermont,1430,College,Men,Division I,New England,North New England DI,13,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=q7NB5HzyT7X2Y6bh5VXHp6fthf1WvK52%2bnlNDoxZTPU%3d
59,Harvard,1425,College,Men,Division I,New England,Metro Boston DI,19,18,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=GYcbuTkJ6nsuVZB6oqpqwa61HI%2b3gi0yRWDC1s4yTAw%3d
60,Mary Washington,1421,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,30,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=O9ZgLh5uSUXivl5WpDoeqX66vtTHZEIwqSy9JtlQtGQ%3d
61,Carleton College-GoP,1394,College,Men,Division III,North Central,Northwoods DIII,29,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Ub37iIeaDUt3ZHmSmR3yxPdvzC6U9kwOsv1RcCwwnds%3d
62,North Carolina-Charlotte,1386,College,Men,Division I,Atlantic Coast,Carolina DI,15,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KnTKBU2xXiHXBq2K6SrcH6VtwqdAQ178%2bZ%2fLHSCSv%2b8%3d
63,South Carolina,1385,College,Men,Division I,Atlantic Coast,Carolina DI,17,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=1hr4ad23cxC4EUHHvnY7%2fwTMRo8URXwaz0kMUye%2fxts%3d
64,Arkansas,1383,College,Men,Division I,South Central,Ozarks DI,16,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=uFJDPr7t2z%2bIDcj%2br9WZFUjwVKwIv0y7Zc8sSqI6nbQ%3d
65,UCLA,1382,College,Men,Division I,Southwest,SoCal DI,21,17,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=pDzpLkpPJ4n5plxJhTCxk%2f063OrbuCY4KJOX9Mln3As%3d
66,Santa Clara,1375,College,Men,Division I,Southwest,NorCal DI,16,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Chga3l96Oy9c1UBprPp6tSm3D9RHlyRyKP7PDhqhkrI%3d
67,Cornell,1373,College,Men,Division I,Metro East,Western NY DI,17,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Fq3hTJn%2bkgMK9Ee7jXanMIvALBUhrr4BOQlX%2fcWa5Oc%3d
68,Oregon State,1370,College,Men,Division I,Northwest,Cascadia DI,10,22,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=EEyTWSZcWCcC5oHUPVL16gTNQQ1xFnJSb6ITZJ2Mnis%3d
69,Richmond,1367,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,24,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=hdgrL09F0jsQ3cctFgbtnoXEnwMvJXoU2%2fkQt1ASfXY%3d
70,Virginia,1366,College,Men,Division I,Atlantic Coast,Virginia DI,17,18,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=vCPQ7ubhKAEQC7Aog2LHe7XOqrfbX6Mj6psxM3%2fcb0Y%3d
71,Utah,1360,College,Men,Division I,Northwest,Big Sky DI,23,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KQ8JL%2fA4eoLqs4kaniVYByvlXk%2bFvL9hx%2bDCCXvnOa4%3d
72,Iowa State,1358,College,Men,Division I,North Central,West Plains DI,17,17,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=beE199fKoJMhnLILz6zLqkOS%2b7KFC0M%2fwzLNNI63APM%3d
73,Villanova,1356,College,Men,Division I,Ohio Valley,East Penn DI,21,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ChNevCH1DbPhGYSLFD1lYqlLSiD%2b%2fDqneiRxRKb2zJE%3d
74,Washington University,1344,College,Men,Division I,South Central,Ozarks DI,16,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=40cdDCR%2b2Tnt9%2bI5iSNnFDmH28sE%2fsP6NEoZrEhb8j8%3d
75,Minnesota-Duluth,1333,College,Men,Division I,North Central,Northwoods DI,13,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=6W27PNWq%2fp2xewwtJnNpVzfea4u1INBwRkPMQyFfSHk%3d
76,Tulane,1333,College,Men,Division I,Southeast,Gulf Coast DI,18,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=4S0Qw%2fl748v8U6zp%2fl%2bNNesXPK5qr2hTSgU9oMwHCBk%3d
77,John Brown,1330,College,Men,Division III,South Central,Ozarks DIII,20,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=HrUmEiNrgX5ZwjT19zzOCilFz23yNpMwWJcy4sj%2bfio%3d
78,Chicago,1318,College,Men,Division I,Great Lakes,Illinois DI,19,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=rEwA%2bxwf0KV6d0oQ%2bkgQevedrb7DALSFxE9sXlHKH1s%3d
79,Tennessee-Chattanooga,1316,College,Men,Division I,Southeast,Southern Appalachian DI,16,16,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=xXZ4swBeKQoxLOO%2b9C49KefIxIr8zuB3siw1P6ro5EU%3d
80,Tennessee,1313,College,Men,Division I,Southeast,Southern Appalachian DI,15,7,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=sRR28mH6AkFwfyX1itZs7gGMYoqHBkvqIZuZJPOYvaQ%3d
81,Oklahoma State,1310,College,Men,Division I,South Central,Ozarks DI,18,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=8%2bXkisutenHI7%2fjudmIhRA59K2t%2bPWxqVm5%2bjzQvVAw%3d
